IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
29696076,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,I 0065,I65 N EXIT117 ON RAMP FROM KY44 E,,,,,37.992509615,-85.704784195,12.896,2/11/2022 12:00:00 AM,1452,2,2,0,0,CLOUDY,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,2/14/2022 6:56:21 AM,False,089,Accepted,
29683841,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,BOGARD,,,,,38.026150976,-85.613602450,18.526,2/10/2022 12:00:00 AM,0840,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,2/10/2022 5:33:10 PM,False,7735,Accepted,
29674589,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,BLEEMEL,,,,,38.034303043,-85.585096203,20.206,2/7/2022 12:00:00 AM,0845,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & HILLCREST,DAYLIGHT,,,2/8/2022 4:46:13 PM,False,7731,Accepted,
29674590,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,CHERRY HILL,,ELLIS COOK,38.028538352,-85.605877329,18.985,2/7/2022 12:00:00 AM,1140,2,2,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,2/8/2022 4:46:17 PM,False,7742,Accepted,
29656612,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.994295335,-85.702900172,0.457,2/2/2022 12:00:00 AM,1745,2,2,0,1,CLOUDY,WET,False,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,REAR END,CURVE & LEVEL,DUSK,I 0065,KY0044,2/3/2022 5:44:52 AM,False,101,Accepted,
29652706,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,SHEPHERDSVILLE,RD,,,GOLDSMITH,,,,,38.006629063,-85.833269506,4.544,2/1/2022 12:00:00 AM,2016,1,1,0,0,CLOUDY,DRY,False,COLLISION WITH ANIMAL IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,2/2/2022 5:07:26 AM,False,1229,Accepted,
29648685,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,HIGH SCHOOL,,MELWOOD,37.998533734,-85.695694019,13.563,2/1/2022 12:00:00 AM,0634,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,2/1/2022 8:54:13 AM,False,076,Accepted,
29681665,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,427,4TH,ST,E,,,,,,,37.990206882,-85.710704474,12.501,2/1/2022 12:00:00 AM,0719,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAWN,,,2/10/2022 9:01:42 AM,False,081,Accepted,
29651002,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.052345144,-85.536137634,23.290,2/1/2022 12:00:00 AM,1209,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,2/1/2022 5:24:09 PM,False,7726,Accepted,
29681661,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,1330,4TH,ST,E,,,,EASTVIEW,,HIGH SCHOOL,37.998119688,-85.697293100,13.472,2/1/2022 12:00:00 AM,0721,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,2/10/2022 9:01:30 AM,False,075,Accepted,
29648429,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.044486927,-85.545598789,22.527,1/31/2022 12:00:00 AM,1720,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,2/1/2022 7:32:13 AM,False,7753,Accepted,
29651001,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.038076370,-85.562419587,21.487,1/31/2022 12:00:00 AM,0856,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,2/1/2022 5:24:03 PM,False,7726,Accepted,
29681664,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.995620369,-85.706063215,0.400,1/31/2022 12:00:00 AM,0807,2,2,0,0,CLOUDY,DRY,False,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,REAR END,STRAIGHT & LEVEL,DAYLIGHT,I 0065,KY0044,2/10/2022 9:01:38 AM,False,081,Accepted,
29644967,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.995045810,-85.702233276,13.113,1/31/2022 12:00:00 AM,0910,2,2,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,1/31/2022 11:26:32 AM,False,049,Accepted,
29648427,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,7171,OLD MILL,RD,,,,,,,,38.031233675,-85.599348537,19.386,1/31/2022 12:00:00 AM,1235,1,1,0,1,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,2/1/2022 7:32:01 AM,False,7732,Accepted,
29676399,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY1319,,KINGS CHURCH,RD,,KY0044,OLD MILL,,,,,38.062394123,-85.504449768,0.009,1/29/2022 12:00:00 AM,1802,2,1,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,2/9/2022 3:03:22 AM,False,7740,Accepted,
29643603,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,I 0065,I65 N EXIT117 ON RAMP FROM KY44 E,,,,,37.993046970,-85.704251696,12.943,1/28/2022 12:00:00 AM,1245,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/31/2022 6:06:46 AM,False,088,Accepted,
29681565,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990525312,-85.714000506,12.320,1/27/2022 12:00:00 AM,1500,4,4,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,2/10/2022 8:41:33 AM,False,085,Accepted,
29633607,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,7558,OLD MILL,RD,,,,,,,,38.033059766,-85.592585999,19.779,1/27/2022 12:00:00 AM,1640,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/27/2022 6:05:16 PM,False,1247,Accepted,
29631172,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.990927788,-85.715919515,12.210,1/26/2022 12:00:00 AM,0715,2,2,0,1,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAWN,,,1/27/2022 7:58:09 AM,False,073,Accepted,
29624850,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,250,4TH,ST,E,,,,,,,37.990357092,-85.712540410,12.400,1/25/2022 12:00:00 AM,1538,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/25/2022 5:58:16 PM,False,088,Accepted,
29624849,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,427,4TH,ST,E,,,,,,,37.990058214,-85.709788042,12.552,1/25/2022 12:00:00 AM,1440,2,2,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,1/25/2022 5:58:12 PM,False,088,Accepted,
29624852,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,1659,4TH,ST,E,,,,,,,37.999910341,-85.692631203,13.757,1/24/2022 12:00:00 AM,0945,2,2,0,2,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/25/2022 5:58:24 PM,False,079,Accepted,
29624853,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990197649,-85.711039031,12.483,1/24/2022 12:00:00 AM,1033,1,1,0,0,CLEAR,DRY,False,OCCUPANT FELL FROM MOVING VEHICLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,1/25/2022 5:58:28 PM,False,079,Accepted,
29624486,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,SNAPP,,,,,38.048856317,-85.541059894,22.921,1/24/2022 12:00:00 AM,1711,2,2,0,0,CLOUDY,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DUSK,,,1/25/2022 4:44:54 PM,False,7742,Accepted,
29611411,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,13764,OLD MILL,RD,,,,,,,,38.064418195,-85.489310318,26.094,1/21/2022 12:00:00 AM,1245,1,1,0,1,CLEAR,DRY,False,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,,,1/21/2022 5:45:30 PM,False,1247,Accepted,
29624851,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.992870776,-85.706392639,0.012,1/21/2022 12:00:00 AM,1313,2,2,0,0,CLEAR,DRY,False,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,REAR END,STRAIGHT & LEVEL,DAYLIGHT,I 0065,KY0044,1/25/2022 5:58:20 PM,False,081,Accepted,
29609769,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,KY2706,GREENBRIAR,,,,,38.033184992,-85.590372138,19.891,1/18/2022 12:00:00 AM,0943,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/21/2022 9:18:25 AM,False,7753,Accepted,
29595091,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,DENNIS,,,,,38.013451427,-85.647796145,16.405,1/17/2022 12:00:00 AM,0520,2,2,0,0,SNOWING,WET,False,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,1/17/2022 3:03:17 PM,False,1247,Accepted,
29597332,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,13642,OLD MILL,RD,,,,,COXS,,CEDAR LAKE,38.064949297,-85.493356865,25.884,1/17/2022 12:00:00 AM,1759,2,2,0,0,CLOUDY,SNOW/SLUSH,False,HEAD-ON COLLISION,HEAD ON,CURVE & GRADE,DARK-HWY NOT LIGHTED,,,1/18/2022 8:05:31 AM,False,1278,Accepted,
29681641,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.994304616,-85.702903867,0.457,1/14/2022 12:00:00 AM,2005,2,2,0,0,CLOUDY,DRY,False,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,REAR END,CURVE & LEVEL,DARK-HWY LIGHTED/ON,I 0065,KY0044,2/10/2022 9:00:09 AM,False,101,Accepted,
29681647,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.991889736,-85.705688330,0.669,1/14/2022 12:00:00 AM,2140,2,2,0,0,CLOUDY,DRY,False,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,REAR END,CURVE & LEVEL,DARK-HWY LIGHTED/ON,I 0065,KY0044,2/10/2022 9:00:27 AM,False,101,Accepted,
29594222,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,PARKLAND,,,,,38.058478110,-85.523551784,24.153,1/13/2022 12:00:00 AM,1337,2,2,0,1,CLEAR,DRY,False,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,1/17/2022 9:53:25 AM,False,7732,Accepted,
29580846,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.048148806,-85.541649278,22.865,1/12/2022 12:00:00 AM,0912,2,2,0,0,CLOUDY,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,1/13/2022 7:37:29 AM,False,7726,Accepted,
29580847,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.047003890,-85.542661075,22.768,1/12/2022 12:00:00 AM,1401,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,1/13/2022 7:37:39 AM,False,7735,Accepted,
29586422,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,US0031EX,BARDSTOWN,,,,,38.048288254,-85.541583610,22.858,1/11/2022 12:00:00 AM,0650,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,,,1/14/2022 12:53:18 PM,False,7731,Accepted,
29580374,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.028154850,-85.606265763,18.953,1/8/2022 12:00:00 AM,1813,3,3,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,1/13/2022 4:52:16 AM,False,7752,Accepted,
29536472,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,SHEPHERDSVILLE,RD,,,,,CUPIO LODGE,KY1526,KNOB CREEK,38.007263193,-85.871730378,2.386,1/5/2022 12:00:00 AM,0610,1,1,0,0,CLEAR,DRY,False,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,,,1/5/2022 10:20:29 AM,False,1033,Accepted,
29534268,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,,,ARMSTRONG,LN,,KY0044,KY44,,,,,38.037025194,-85.571155065,2.703,1/4/2022 12:00:00 AM,1212,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,1/4/2022 8:09:29 PM,False,7735,Accepted,
29540372,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,KY0061,BUCKMAN,,,,,37.990917084,-85.715825695,12.215,1/3/2022 12:00:00 AM,2003,2,2,0,0,CLEAR,DRY,True,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,1/6/2022 9:51:31 AM,False,097,Accepted,
29535262,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,JOE B HALL,I 0065,I65 S EXIT117 ON RAMP FROM KY44,37.991126202,-85.706229779,12.765,1/3/2022 12:00:00 AM,2157,3,3,0,1,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/ON,,,1/5/2022 5:19:21 AM,False,1229,Accepted,
29572767,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,1823,4TH,ST,W,,,,,,,37.999895653,-85.744153307,10.493,1/2/2022 12:00:00 AM,1450,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/11/2022 11:24:41 AM,False,081,Accepted,
29525685,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,I 0065,I65 S EXIT117 ON RAMP FROM KY44,,,,,37.992009429,-85.705300737,12.853,1/1/2022 12:00:00 AM,2135,2,2,0,0,RAINING,WET,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,1/3/2022 5:52:08 AM,False,101,Accepted,
29520442,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,FOSTER,,,,,38.012893640,-85.650647414,16.242,12/31/2021 12:00:00 AM,1353,2,2,0,0,CLOUDY,DRY,False,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,12/31/2021 8:41:50 PM,False,1226,Accepted,
29548936,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.995656214,-85.701767018,13.164,12/30/2021 12:00:00 AM,1429,2,1,0,0,CLOUDY,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,1/10/2022 3:02:22 AM,False,017,Accepted,
29547023,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.993365025,-85.723269959,11.796,12/29/2021 12:00:00 AM,1910,2,1,0,0,RAINING,WET,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,1/9/2022 3:02:24 AM,False,085,Accepted,
29509546,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,SHEPHERDSVILLE,RD,,,,,RITCHEY,,NICHOLS HILL,38.015943151,-85.897742192,0.742,12/28/2021 12:00:00 AM,1015,1,1,0,0,RAINING,WET,False,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,12/28/2021 12:58:39 PM,False,1033,Accepted,
29571451,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.992139863,-85.705704505,0.034,12/28/2021 12:00:00 AM,0945,2,1,0,0,RAINING,WET,False,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,REAR END,STRAIGHT & LEVEL,DAYLIGHT,I 0065,KY0044,1/11/2022 3:02:16 AM,False,078,Accepted,
29505008,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990138221,-85.708330772,12.633,12/26/2021 12:00:00 AM,1815,2,2,0,0,CLOUDY,DRY,False,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,12/27/2021 10:40:49 AM,False,101,Accepted,
29507089,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,SHEPHERDSVILLE,RD,,,,,PITTS POINT,,OLD PITTS POINT,38.000250325,-85.754067872,9.929,12/26/2021 12:00:00 AM,0900,1,1,0,1,CLOUDY,DRY,False,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,12/27/2021 8:35:29 PM,False,1282,Accepted,
29505014,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,1249,4TH,ST,W,,,,,,,37.998505663,-85.735083986,10.967,12/25/2021 12:00:00 AM,0802,1,1,0,0,CLOUDY,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,,,12/27/2021 10:41:06 AM,False,073,Accepted,
29500727,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,FOREST,,BLEEMEL,38.033877503,-85.586707614,20.110,12/25/2021 12:00:00 AM,1530,1,1,0,0,CLEAR,DRY,False,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/25/2021 8:36:05 PM,False,1282,Accepted,
29500538,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,11135,OLD MILL,RD,,,,,,,,38.052430549,-85.535927233,23.303,12/25/2021 12:00:00 AM,1304,2,2,0,0,CLOUDY,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/25/2021 5:19:57 PM,False,7732,Accepted,
29505608,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.027275404,-85.608388022,18.819,12/24/2021 12:00:00 AM,1621,2,2,0,0,CLOUDY,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/27/2021 1:22:35 PM,False,7753,Accepted,
29499369,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,ADAM SHEPHERD,,,,,37.990444267,-85.707325883,12.692,12/23/2021 12:00:00 AM,2206,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/24/2021 6:59:09 PM,False,086,Accepted,
29496081,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,ADAM SHEPHERD,,,,,37.990467106,-85.707133325,12.703,12/22/2021 12:00:00 AM,1040,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/23/2021 11:46:27 AM,False,073,Accepted,
29505026,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,JOE B HALL,I 0065,I65 S EXIT117 ON RAMP FROM KY44,37.991229916,-85.706098605,12.692,12/22/2021 12:00:00 AM,1702,2,2,0,0,CLOUDY,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,12/27/2021 10:41:43 AM,False,075,Accepted,
29496156,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990481423,-85.713619189,12.340,12/22/2021 12:00:00 AM,1300,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/23/2021 12:29:02 PM,False,104,Accepted,
29496080,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.991901704,-85.705358849,12.815,12/22/2021 12:00:00 AM,1300,2,2,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/23/2021 11:46:23 AM,False,073,Accepted,
29495086,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,HOWLETT,,TARA,37.995986635,-85.728364341,11.459,12/21/2021 12:00:00 AM,1929,1,1,0,0,CLEAR,DRY,False,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/23/2021 5:01:15 AM,False,097,Accepted,
29489756,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,9050,KY44,,,,,,,,,38.037307370,-85.566834311,21.238,12/20/2021 12:00:00 AM,1630,1,1,0,0,CLOUDY,DRY,False,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/21/2021 5:52:22 PM,False,7726,Accepted,
29487180,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990230052,-85.711383738,12.464,12/18/2021 12:00:00 AM,1115,2,2,0,0,RAINING,WET,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/21/2021 5:50:12 AM,False,079,Accepted,
29483669,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.054206034,-85.532450302,23.530,12/16/2021 12:00:00 AM,1317,2,2,0,5,RAINING,WET,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/20/2021 9:59:24 AM,False,7726,Accepted,
29483681,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.046136945,-85.543350307,22.697,12/16/2021 12:00:00 AM,1517,2,2,0,1,RAINING,WET,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DAYLIGHT,,,12/20/2021 9:59:56 AM,False,7735,Accepted,
